path,false_positive_windows,true_negative_windows,threshold,aggregation_method
/home/zjx/train_data/evaluation/RouteScenario_1773_rep17_Town06_FreeRide_3_None_01_08_00_04_51/driving_log.csv,1,20,3209.0377849025513,mean
/home/zjx/train_data/evaluation/RouteScenario_1773_rep17_Town06_FreeRide_4_None_01_08_00_04_45/driving_log.csv,1,20,3209.038152386972,mean
/home/zjx/train_data/evaluation/RouteScenario_1773_rep18_Town06_FreeRide_1_None_01_08_00_23_08/driving_log.csv,1,20,3209.037898992314,mean
/home/zjx/train_data/evaluation/RouteScenario_1773_rep18_Town06_FreeRide_2_None_01_08_00_25_43/driving_log.csv,1,20,3209.039319497752,mean
/home/zjx/train_data/evaluation/RouteScenario_1773_rep18_Town06_FreeRide_3_None_01_08_00_18_49/driving_log.csv,1,20,3209.036647616584,mean
/home/zjx/train_data/evaluation/RouteScenario_1773_rep18_Town06_FreeRide_4_None_01_08_00_18_41/driving_log.csv,1,20,3209.0369935676545,mean
/home/zjx/train_data/evaluation/RouteScenario_1773_rep19_Town06_FreeRide_1_None_01_08_00_37_26/driving_log.csv,1,20,3209.037709730615,mean
/home/zjx/train_data/evaluation/RouteScenario_1773_rep19_Town06_FreeRide_3_None_01_08_00_32_59/driving_log.csv,1,20,3209.0372641342333,mean
/home/zjx/train_data/evaluation/RouteScenario_1773_rep19_Town06_FreeRide_4_None_01_08_00_32_37/driving_log.csv,1,20,3209.0399702676586,mean
/home/zjx/train_data/evaluation/RouteScenario_1773_rep17_Town06_FreeRide_3_None_01_08_00_04_51/driving_log.csv,1,20,3214.7875229267975,max
/home/zjx/train_data/evaluation/RouteScenario_1773_rep17_Town06_FreeRide_4_None_01_08_00_04_45/driving_log.csv,1,20,3214.7889120581817,max
/home/zjx/train_data/evaluation/RouteScenario_1773_rep18_Town06_FreeRide_1_None_01_08_00_23_08/driving_log.csv,1,20,3214.787951523448,max
/home/zjx/train_data/evaluation/RouteScenario_1773_rep18_Town06_FreeRide_2_None_01_08_00_25_43/driving_log.csv,1,20,3214.790197751724,max
/home/zjx/train_data/evaluation/RouteScenario_1773_rep18_Town06_FreeRide_3_None_01_08_00_18_49/driving_log.csv,1,20,3214.787005370752,max
/home/zjx/train_data/evaluation/RouteScenario_1773_rep18_Town06_FreeRide_4_None_01_08_00_18_41/driving_log.csv,1,20,3214.786677507496,max
/home/zjx/train_data/evaluation/RouteScenario_1773_rep19_Town06_FreeRide_1_None_01_08_00_37_26/driving_log.csv,1,20,3214.7879593177013,max
/home/zjx/train_data/evaluation/RouteScenario_1773_rep19_Town06_FreeRide_3_None_01_08_00_32_59/driving_log.csv,1,20,3214.787565623248,max
/home/zjx/train_data/evaluation/RouteScenario_1773_rep19_Town06_FreeRide_4_None_01_08_00_32_37/driving_log.csv,1,20,3214.7906741946813,max
